Region,Time,Longitude,Latitude,T,S,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
B2,2023-05-04 04:45:24,4.91981460184898,40.7504621,16.918164492311053,38.2032968010872,1.697206,0.5449998640975128,1.431601862785015,0.0929254376299501,0.2096762515517217,0.0749684195243462,0.1142124077245234,0.0014466297537589
B2,2023-05-04 04:58:24,4.91857768133806,40.7506493339034,16.842452698131293,38.20108570725952,1.717843,0.5834967985700416,1.4155048055719115,0.1131339748350823,0.2007740834275299,0.0674497041297455,0.1181881267511215,0.0026093693657633
B2,2023-05-04 05:15:24,4.9152524972024,40.7502385267934,16.856594140368827,38.19445600851865,2.466578,0.6542590136388439,1.498924866890375,0.131723761099732,0.1978668952685512,0.0746563819896379,0.1200958361486869,0.0023537967867037
B2,2023-05-04 05:28:24,4.91045920653503,40.7488001209964,16.81183674854481,38.1905366069213,9.563669,0.5553343116047648,1.3967289231819553,0.1156240975769074,0.2545331892187862,0.077191534718228,0.129777450092169,0.0027817835861814
B2,2023-05-04 05:46:24,4.92683014875968,40.7642184584016,16.958501282033072,38.18691736922187,42.66982,0.5057185668622156,1.8302115084561208,0.1421934543687637,0.3534401375732703,0.0992689684740878,0.1350505850208281,0.0025320479402341
B2,2023-05-04 05:58:24,4.93275917251838,40.7698367503676,16.937652800498995,38.14772820584694,103.9618,0.2801577105729299,1.4458347152932782,0.1197399078226286,0.2822822446406644,0.1013319672685634,0.1194505079462015,0.002205524068595
B2,2023-05-04 06:15:24,4.94582329004538,40.7710229886469,16.96568008397329,38.143805941947306,129.9248,0.2200763889588484,1.8010566887554638,0.0952099575949926,0.1434863558261873,0.1134341498846435,0.1186686422957828,0.0016860692514266
B2,2023-05-04 06:28:24,4.9516308864179,40.7712099864179,16.794415508881265,38.13536392100558,173.6897,0.232101892726553,1.3620452224100246,0.1032247300251355,0.307651283173536,0.1150159649211951,0.1128585090811675,0.0018398546222132
B2,2023-05-04 06:46:24,4.95195448373917,40.7707711148783,16.783483995520964,38.13405674160612,440.1804,0.2777295679336724,1.4688627610375178,0.0963496264694007,0.1820634668192111,0.1155583627460871,0.1136488664225752,0.0015896202792067
B2,2023-05-04 06:58:24,4.94995586853423,40.7717659023836,16.818381690247566,38.13405763832088,599.1172,0.2817741263897643,1.5665101959514487,0.1002501351031134,0.1676914665243618,0.1186052551585459,0.1163743713983861,0.0017439424442031
B2,2023-05-04 07:16:24,4.94826543390368,40.7727308805596,16.8552644216707,38.13435733846693,409.5769,0.2178459763585056,1.6511822954380353,0.0864645720936765,0.2880565531193159,0.1139476667881133,0.1149611645148223,0.0026264189193458
B2,2023-05-04 07:28:24,4.94957558607347,40.7691866050286,16.83730319182048,38.13486235130892,698.2086,0.3108017561585892,1.3876483052806328,0.0995984893838723,0.2192693920609853,0.1229122516844097,0.1084281492513987,0.0015312747572537
B2,2023-05-04 07:46:24,4.94786289480783,40.7676958106091,16.92600076969523,38.13646885933038,897.3428,0.4766522719434902,1.3780099528766243,0.1118083336942297,0.3956263190247981,0.1188982767978145,0.1172478485616515,0.0018647211626513
