Region,Time,lon,lat,S,T,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
crown,2023-04-29 00:16:00,4.57368590197948,41.0169202956548,38.11573600641896,17.658518039262695,1.354049,0.1275590221255232,4.444854386249566,0.1360135040758409,0.2713281047755232,0.1072586961595116,0.1436548352090591,0.0020045366428569
crown,2023-04-29 00:29:00,4.56348580246208,41.038243894931,38.12026505743466,17.69329216399812,1.356624,0.2055608172935752,4.330334062341709,0.1627447896165198,0.4145575988077626,0.0981800894903713,0.1404634519371799,0.0022183465520188
crown,2023-04-29 00:46:00,4.5507482016898,41.0665983961135,38.19703898410904,17.64920883072753,1.373344,0.2024344129728805,4.710001980204701,0.20275856948563,0.4272769058116696,0.0752259177492549,0.1351787815205466,0.0025225821136585
crown,2023-04-29 00:59:00,4.54091070200664,41.0877929960471,38.23311678989177,17.480664331126142,1.378998,0.2071993308695208,3.987813557710372,0.2339209945361209,0.4391893620186374,0.0803564743888507,0.1553387831829266,0.0033038828375815
crown,2023-04-29 01:17:00,4.52747590199557,41.1169215957192,38.39258287708465,17.69644122417617,1.336648,0.3568095187285343,4.474503023527507,0.2672727152549631,0.628338838454737,0.0554359967772539,0.1266915524732676,0.002409887024528
crown,2023-04-29 01:29:00,4.51808780138805,41.1356730968135,38.36345055094238,17.489915185939527,1.349539,0.2248849930158681,4.391304501686412,0.230701519340207,0.4761558672108606,0.1047212306061355,0.1426266294883986,0.0030710445037793
crown,2023-04-29 01:46:00,4.50628160186683,41.1624611958962,38.36375698250444,17.642439150547567,1.389539,0.2331048437637803,9.778757492603134,0.3011040409439708,0.3324827657836272,0.0995207252042159,0.2373959430678192,0.0033284055358319
crown,2023-04-29 01:59:00,4.49672760235346,41.1821157953474,38.38426134958786,17.422532067134107,1.385193,0.3740619626582011,6.631049507283082,0.253647272598261,0.3500635328736445,0.0927463683944655,0.1891571798129284,0.0024930083996873
crown,2023-04-29 02:16:00,4.48486370149266,41.2080313964092,38.46585666935408,17.40825473947616,1.345921,0.3483821093425191,5.562437195623655,0.2823750289855847,0.2853878973712067,0.1738210374685189,0.1615330333937034,0.0026769691873668
crown,2023-04-29 02:29:00,4.47582200199155,41.2275222962734,38.49661012824474,17.1003937887679,1.324922,0.287302794556497,6.1101089284297085,0.2941285462270046,0.261374780665929,0.1620009059827329,0.203171277982021,0.0030905458086542
crown,2023-04-29 02:46:00,4.4630584013277,41.2534110971233,38.51761857316127,17.19847665841735,1.331123,0.5079418152488339,11.839052406792694,0.4207502518268277,0.3060829560627137,0.1909764296904973,0.2964359595909708,0.0043943468376998
