Time,lon,lat,S,T,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
2023-04-29 08:46:00,4.61883519845102,41.0444551029541,38.116929326902,17.987586677185565,1214.367,91.75,1304.0,203.4,361.0,23060.0,1945.0,139.6
2023-04-29 08:59:00,4.62905209838262,41.0242030030537,38.12727216735413,17.986289201729907,1302.313,79.93,1175.0,191.8,275.8,20420.0,1758.0,87.92
2023-04-29 09:16:00,4.64278879785958,40.9980453041843,38.10465750230072,18.02883375831961,1415.674,128.8,1412.0,174.3,342.7,21790.0,1872.0,79.23
2023-04-29 09:29:00,4.65354989751981,40.9781934045259,38.09791681997838,18.17065430487292,1527.071,144.8,1188.0,192.4,309.3,18280.0,1703.0,128.9
2023-04-29 09:46:00,4.6675272981553,40.9521882036472,38.14553668265261,18.480428238101695,1558.254,77.52,1282.0,200.8,363.8,21300.0,1853.0,119.3
2023-04-29 09:59:00,4.67777729809897,40.9321905039077,38.09901038977102,18.396030684261326,1637.113,83.41,776.5,119.2,258.2,14460.0,1303.0,117.2
2023-04-29 10:16:00,4.6905622985174,40.9058077028988,38.07006410277332,18.582413806223727,1719.835,139.4,1735.0,175.2,398.3,19650.0,1715.0,95.59
2023-04-29 10:29:00,4.70132889827399,40.8861529029692,38.078900475623634,18.586139945852505,1691.409,59.88,1050.0,151.7,265.5,17660.0,1419.0,111.8
2023-04-29 10:46:00,4.71547039798833,40.8602218041199,38.065427270086445,18.8997570208514,1604.495,87.05,1547.0,124.6,340.3,17640.0,1678.0,100.9
2023-04-29 10:59:00,4.72563779809913,40.8407806028242,38.091745865918696,18.502969175897217,1715.236,99.73,1578.0,195.5,253.3,16630.0,1684.0,103.7
2023-04-29 11:16:00,4.73275169963388,40.8396794,38.11143663531562,18.328838304802183,1735.519,81.04,1710.0,262.9,373.6,17630.0,1759.0,108.7
2023-04-29 11:29:00,4.73556509965299,40.8388764002414,38.10128973739484,18.371027753630443,1739.951,85.4,1627.0,266.1,280.0,16220.0,1625.0,101.3
2023-04-29 11:46:00,4.73598359986723,40.8389897000664,38.09405303061583,18.41013998985617,1868.374,95.2,1676.0,204.3,315.3,17060.0,1593.0,83.3
2023-04-29 11:59:00,4.73689399992758,40.8376353999517,38.09947996217791,18.206511706725472,1854.56,119.3,1799.0,222.6,393.5,17590.0,1624.0,111.3
2023-04-29 12:17:00,4.72728300014484,40.845673801207,38.0833056763715,18.309719002433894,1358.382,105.9,1582.0,193.8,427.5,15620.0,1576.0,105.9
2023-04-29 12:29:00,4.72577130057931,40.8280049051776,38.12008124344106,18.44328158008798,1574.69,153.8,2455.0,275.6,497.3,18330.0,1834.0,91.88
2023-04-29 12:47:00,4.72270610010862,40.7971227052681,38.17554146503425,18.06167228363681,1159.238,238.6,3230.0,326.0,479.1,19910.0,1904.0,109.3
2023-04-29 12:59:00,4.72106090016596,40.7764999042848,38.1934242690816,17.932509875755702,1609.852,218.3,1810.0,186.6,416.8,15520.0,1693.0,77.41
2023-04-29 13:17:00,4.71876090037015,40.7462533042165,38.2119118729978,17.81231192651524,1446.2,101.8,1395.0,189.6,381.1,15430.0,1536.0,65.85
2023-04-29 13:29:00,4.7181778989137,40.7317259007846,38.19573173983006,17.841698356611136,1513.896,69.62,1581.0,242.7,372.0,12250.0,1693.0,113.4
2023-04-29 13:47:00,4.72274080037417,40.7527708961134,38.20929702722765,17.895152974319778,1666.248,67.23,1404.0,205.6,365.8,13070.0,1570.0,100.8
2023-04-29 13:59:00,4.72140400028966,40.7753785944603,38.19372681881805,17.86269733666081,1670.43,204.2,2234.0,265.6,406.4,12150.0,1780.0,109.0
2023-04-29 14:16:00,4.72004419988735,40.8063509956488,38.14138061324521,18.244177998968954,1518.694,113.0,1854.0,305.4,343.1,15270.0,1715.0,91.22
2023-04-29 14:29:00,4.71953880019614,40.8304944952324,38.11204621733386,18.12236645263823,937.2803,79.57,1450.0,306.3,399.8,14690.0,1432.0,111.4
2023-04-29 14:47:00,4.71818640009656,40.8643875949467,38.10009167741431,18.284290480538186,1070.858,117.8,1194.0,185.7,393.3,13300.0,1288.0,103.8
