Time,Longitude,Latitude,T,S,AnRho,Region,color
2023-04-28 22:22:00,4.66371286514266,40.82546096119,17.8530006408691,38.06413593936039,27.5192,B,lightgreen
2023-04-28 22:22:06,4.6636023347695,40.8256170620588,17.8540000915527,38.06393668569427,27.5185,B,lightgreen
2023-04-28 22:22:12,4.66349424178654,40.8257726389793,17.8579998016357,38.06323148467527,27.5171,B,lightgreen
2023-04-28 22:22:18,4.66338831010883,40.8259282607569,17.863000869751,38.063032229226046,27.5157,B,lightgreen
2023-04-28 22:22:24,4.66328471360649,40.8260832899972,17.8680000305176,38.0639368558454,27.5151,B,lightgreen
2023-04-28 22:22:30,4.66318436284345,40.8262383098997,17.8729991912842,38.06373759823271,27.5136,B,lightgreen
2023-04-28 22:22:36,4.66308768709595,40.8263935315608,17.8770008087158,38.06373765147046,27.5126,B,lightgreen
2023-04-28 22:22:42,4.66299703677019,40.8265496304681,17.882999420166,38.06393701474897,27.5113,B,lightgreen
2023-04-28 22:22:48,4.66291152540601,40.8267064780117,17.8880004882812,38.064741978665765,27.5107,B,lightgreen
2023-04-28 22:22:54,4.66283074873548,40.8268641498766,17.8910007476807,38.06433956884164,27.5096,B,lightgreen
2023-04-28 22:23:00,4.66275390268432,40.8270221534962,17.8929996490479,38.06474207227684,27.5094,B,lightgreen
2023-04-28 22:23:06,4.66267977397762,40.8271806749579,17.8950004577637,38.06544354306582,27.5095,B,lightgreen
2023-04-28 22:23:12,4.66260834014078,40.8273387746003,17.8959999084473,38.06614884572437,27.5097,B,lightgreen
2023-04-28 22:23:18,4.66253908937726,40.827497551009,17.8969993591309,38.06534397433322,27.509,B,lightgreen
2023-04-28 22:23:24,4.662471289184,40.827656000688,17.8969993591309,38.06695001355026,27.5102,B,lightgreen
2023-04-28 22:23:30,4.66240468258007,40.8278153556026,17.8969993591309,38.06765531453424,27.5107,B,lightgreen
2023-04-28 22:23:36,4.6623393364228,40.8279749340508,17.8969993591309,38.0689623846373,27.5117,B,lightgreen
2023-04-28 22:23:42,4.66227397427107,40.8281348857238,17.8969993591309,38.06825716801836,27.5113,B,lightgreen
2023-04-28 22:23:48,4.66220818385302,40.828294689145,17.8969993591309,38.06906212485512,27.5118,B,lightgreen
2023-04-28 22:23:54,4.66214081782477,40.8284541693875,17.8990001678467,38.06956428100315,27.5117,B,lightgreen
2023-04-28 22:24:00,4.66207245284114,40.8286141995195,17.8990001678467,38.06986712537381,27.5118,B,lightgreen
2023-04-28 22:24:06,4.6620027808137,40.8287743534081,17.9020004272461,38.07006648121593,27.5114,B,lightgreen
2023-04-28 22:24:12,4.66193254524438,40.8289343832182,17.9029998779297,38.07006652504245,27.511,B,lightgreen
2023-04-28 22:24:18,4.66186171431303,40.829095686253,17.9039993286133,38.07006656923156,27.5109,B,lightgreen
2023-04-28 22:24:24,4.66179071547226,40.8292572412179,17.9050006866455,38.070369414761366,27.5109,B,lightgreen
2023-04-28 22:24:30,4.66171972791042,40.8294189694246,17.9050006866455,38.06996700169825,27.5104,B,lightgreen
2023-04-28 22:24:36,4.66164901740069,40.8295816745127,17.9060001373291,38.07026601431844,27.5104,B,lightgreen
2023-04-28 22:24:42,4.66157777113136,40.8297446544634,17.9080009460449,38.07077200524109,27.5104,B,lightgreen
2023-04-28 22:24:48,4.6615060265612,40.8299083063554,17.9099998474121,38.07046924877954,27.5095,B,lightgreen
2023-04-28 22:24:54,4.6614321633819,40.8300727889787,17.9139995574951,38.070066837096576,27.5083,B,lightgreen
2023-04-28 22:25:00,4.66135611256244,40.8302367374637,17.9160003662109,38.07127425561937,27.5086,B,lightgreen
2023-04-28 22:25:06,4.6612783955974,40.8304009439872,17.9200000762939,38.07006693063455,27.5068,B,lightgreen
2023-04-28 22:25:12,4.6611983807028,40.8305653292288,17.9220008850098,38.07026629083224,27.5064,B,lightgreen
2023-04-28 22:25:18,4.66111696645316,40.8307301670937,17.9230003356934,38.070569140642,27.5064,B,lightgreen
2023-04-28 22:25:24,4.66103476998462,40.8308949866248,17.923999786377,38.07046953338261,27.5062,B,lightgreen
2023-04-28 22:25:30,4.6609513270655,40.831059745869,17.9220008850098,38.07036992658547,27.5064,B,lightgreen
2023-04-28 22:25:36,4.66086716148389,40.8312245339529,17.9209995269775,38.06966471755442,27.5062,B,lightgreen
2023-04-28 22:25:42,4.66078225099939,40.8313893051726,17.9200000762939,38.07046968214686,27.5071,B,lightgreen
2023-04-28 22:25:48,4.66069581461918,40.8315546886466,17.9190006256104,38.069764474033455,27.5069,B,lightgreen
2023-04-28 22:25:54,4.66060857454722,40.831721274493,17.9169998168945,38.06906309927859,27.5067,B,lightgreen
2023-04-28 22:26:00,4.6605195942822,40.8318877818858,17.9169998168945,38.06876034960664,27.5065,B,lightgreen
2023-04-28 22:26:06,4.66042999614677,40.8320546083631,17.9160003662109,38.06956531618988,27.5075,B,lightgreen
2023-04-28 22:26:12,4.66033953527895,40.8322230173635,17.9130001068115,38.06956536853881,27.5081,B,lightgreen
2023-04-28 22:26:18,4.66024788958351,40.8323918205743,17.9109992980957,38.069366109156526,27.5084,B,lightgreen
2023-04-28 22:26:24,4.66015646047988,40.8325611863496,17.9099998474121,38.06906336071614,27.5085,B,lightgreen
2023-04-28 22:26:30,4.66006520665517,40.8327317730041,17.9080009460449,38.0702669527782,27.5099,B,lightgreen
2023-04-28 22:26:36,4.65997305936791,40.8329037352724,17.9050006866455,38.06946592433909,27.5101,B,lightgreen
2023-04-28 22:26:42,4.65988107952328,40.8330768707617,17.9009990692139,38.06976494610621,27.5112,B,lightgreen
